City, Country,Continent,Population (2024),Population (2023),Growth Rate
Lanzhou,China,Asia,3365910,3297528,0.0207
Warsaw,Poland,Europe,1799451,1797516,0.0011
Mashhad,Iran,Asia,3415532,3367852,0.0142
Bur Sa'id,Egypt,Africa,792925,778280,0.0188
Anqiu,China,Asia,821765,791931,0.0377
Homs,Syria,Asia,1499603,1443429,0.0389
Ciudad Juarez,Mexico,North America,1604085,1582313,0.0138
Tianmen,China,Asia,978317,953768,0.0257
Kozhikode,India,Asia,4243962,4088555,0.038
Leshan,China,Asia,1116497,1087409,0.0267
Haicheng,China,Asia,834639,821192,0.0164
Baixada Santista,Brazil,South America,1965110,1947785,0.0089
Bordeaux,France,Europe,1009594,1000475,0.0091
Putian,China,Asia,2250104,2176022,0.034
Taoyuan,Taiwan,Asia,2338724,2318850,0.0086
Tegucigalpa,Honduras,North America,1609261,1568025,0.0263
Tijuana,Mexico,North America,2297216,2259787,0.0166
N Djamena,Chad,Africa,1655618,1592324,0.0397
Gwalior,India,Asia,1508846,1475016,0.0229
Haikou,China,Asia,2056646,2016092,0.0201
Mersin,Turkey,Asia,1084817,1069402,0.0144
Bangkok,Thailand,Asia,11233869,11069982,0.0148
Sapporo,Japan,Asia,2660947,2666112,-0.0019
Davao City,Philippines,Asia,1991457,1949400,0.0216
Chengde,China,Asia,1024521,993097,0.0316
Heze,China,Asia,838928,826777,0.0147
Rajkot,India,Asia,2096981,2043107,0.0264
Hamburg,Germany,Europe,1787280,1787520,-0.0001
Ahvaz,Iran,Asia,1309372,1293619,0.0122
Fuyang,China,Asia,1146343,1120694,0.0229
Ibb,Yemen,Asia,810149,771514,0.0501
Perm,Russia,Asia,1084120,1081768,0.0022
La Laguna,Mexico,North America,1826135,1780592,0.0256
Basra,Iraq,Asia,1485156,1448124,0.0256
Rosario,Argentina,South America,1613041,1594096,0.0119
Villahermosa,Mexico,North America,958118,943530,0.0155
Mangalore,India,Asia,763312,749073,0.019
Tuxtla Gutierrez,Mexico,North America,913075,897694,0.0171
Voronezh,Russia,Asia,1083724,1080808,0.0027
Antananarivo,Madagascar,Africa,4048666,3872264,0.0456
Dubai,United Arab Emirates,Asia,3051016,3007583,0.0144
Manaus,Brazil,South America,2406854,2375636,0.0131
Multan,Pakistan,Asia,2205407,2154600,0.0236
Cixi,China,Asia,1840039,1788871,0.0286
Zibo,China,Asia,2828435,2780142,0.0174
Cucuta,Colombia,South America,972485,963045,0.0098
La Paz,Bolivia,South America,1965570,1935619,0.0155
Dakar,Senegal,Africa,3540462,3429536,0.0323
Salvador,Brazil,South America,3994982,3958384,0.0092
